course_title,institution,link,course_type,course_duration,competency_1,proficiency_levels_1,competency_2,proficiency_levels_2,competency_3,proficiency_levels_3,competency_4,proficiency_levels_4,competency_5,proficiency_levels_5,competency_6,proficiency_levels_6,competency_7,proficiency_levels_7,competency_8,proficiency_levels_8,competency_9,proficiency_levels_9,competency_10,proficiency_levels_10,competency_11,proficiency_levels_11,competency_12,proficiency_levels_12,competency_13,proficiency_levels_13,competency_14,proficiency_levels_14,competency_15,proficiency_levels_15,competency_16,proficiency_levels_16,competency_17,proficiency_levels_17,competency_18,proficiency_levels_18,competency_19,proficiency_levels_19,competency_20,proficiency_levels_20,competency_21,proficiency_levels_21,competency_22,proficiency_levels_22,competency_23,proficiency_levels_23,competency_24,proficiency_levels_24,competency_25,proficiency_levels_25,competency_26,proficiency_levels_26,competency_27,proficiency_levels_27,competency_28,proficiency_levels_28,competency_29,proficiency_levels_29,competency_30,proficiency_levels_30,competency_31,proficiency_levels_31,competency_32,proficiency_levels_32,competency_33,proficiency_levels_33,competency_34,proficiency_levels_34,competency_35,proficiency_levels_35,competency_36,proficiency_levels_36,competency_37,proficiency_levels_37,competency_38,proficiency_levels_38,competency_39,proficiency_levels_39,competency_40,proficiency_levels_40,competency_41,proficiency_levels_41,competency_42,proficiency_levels_42,competency_43,proficiency_levels_43,competency_44,proficiency_levels_44,competency_45,proficiency_levels_45,competency_46,proficiency_levels_46,competency_47,proficiency_levels_47,competency_48,proficiency_levels_48,competency_49,proficiency_levels_49,competency_50,proficiency_levels_50
Financial Analysis Channel,Skillsoft,https://www.skillsoft.com/channel/financial-analysis-db9a0210-f91d-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Functional Insights on Digital Transformation Channel,Skillsoft,https://www.skillsoft.com/channel/functional-insights-on-digital-transformation-69bdd4c6-e234-4bf9-a5ac-ed0697a52c8f?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giving and Receiving Feedback Channel,Skillsoft,https://www.skillsoft.com/channel/giving-and-receiving-feedback-4f1db830-205b-11e7-a06b-196ddb80a7e9?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influence & Persuasion Channel,Skillsoft,https://www.skillsoft.com/channel/influence-persuasion-d1a84290-e71a-11e6-9835-f723b46a2688?developing-leadership-skills=1599900&expertiselevel=1599899?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation & Creativity Channel,Skillsoft,https://www.skillsoft.com/channel/innovation-creativity-ceb468e0-e718-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leadership Foundations Channel,Skillsoft,https://www.skillsoft.com/channel/leadership-foundations-8c068380-e717-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Change Channel,Skillsoft,https://www.skillsoft.com/channel/leading-change-c6de72b0-e717-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading DEI In The Workplace Channel,Skillsoft,https://www.skillsoft.com/channel/leading-dei-in-the-workplace-044ea789-0d6f-497b-83b3-87e205947bd1?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Teams Channel,Skillsoft,https://www.skillsoft.com/channel/leading-teams-d9c00100-f914-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Decision Making Channel,Skillsoft,https://www.skillsoft.com/channel/management-decision-making-550525c0-2115-11e7-981f-677d6b31eab4?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing & Developing People Channel,Skillsoft,https://www.skillsoft.com/channel/managing-developing-people-f816e150-f914-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Risk Channel,Skillsoft,https://www.skillsoft.com/channel/managing-risk-f80bf9d0-e716-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Stress Channel,Skillsoft,https://www.skillsoft.com/channel/managing-stress-12577c50-e71d-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Team Conflict Channel,Skillsoft,https://www.skillsoft.com/channel/managing-team-conflict-21caff40-f915-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Virtual Teams Channel,Skillsoft,https://www.skillsoft.com/channel/managing-virtual-teams-502775a1-155b-11e7-84ad-c7901500d497?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Yourself Channel,Skillsoft,https://www.skillsoft.com/channel/managing-yourself-aca6bac0-e71b-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measuring & Managing Performance Channel,Skillsoft,https://www.skillsoft.com/channel/measuring-managing-performance-31a67200-f915-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentoring Channel,Skillsoft,https://www.skillsoft.com/channel/mentoring-997877d0-f914-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motivating People Channel,Skillsoft,https://www.skillsoft.com/channel/motivating-people-a588dbe0-e718-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negotiation Channel,Skillsoft,https://www.skillsoft.com/channel/negotiation-1489c750-1e20-11e7-9d4e-698350f5974e?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Networking & Building Relationships Channel,Skillsoft,https://www.skillsoft.com/channel/networking-building-relationships-2769d7c0-e71b-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oral Communications Channel,Skillsoft,https://www.skillsoft.com/channel/oral-communication-f1215f10-f91e-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organizational Culture Channel,Skillsoft,https://www.skillsoft.com/channel/organizational-culture-46defff0-211c-11e7-a974-1962c7e6a20b?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overcoming Unconscious Bias Channel,Skillsoft,https://www.skillsoft.com/channel/overcoming-unconscious-bias-761de9d1-3877-48ad-847e-dda442de8963?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Productivity Channel,Skillsoft,https://www.skillsoft.com/channel/personal-productivity-f99a21a0-e71b-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive Analytics Channel,Skillsoft,https://www.skillsoft.com/channel/predictive-analytics-84e64131-1557-11e7-9f21-659139b59eba?expertiselevel=52919&technologyandversion=52921?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management Essentials Channel,Skillsoft,https://www.skillsoft.com/channel/project-management-essentials-6abd8c70-f917-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Management Channel,Skillsoft,https://www.skillsoft.com/channel/quality-management-ccfb2291-2120-11e7-ac46-dd5c3d0e46dd?belt=58615?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recruiting & Hiring Channel,Skillsoft,https://www.skillsoft.com/channel/recruiting-hiring-ff0d5350-f91d-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resilience & Perseverance Channel,Skillsoft,https://www.skillsoft.com/channel/resilience-perseverance-52bf2290-e71b-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAP End User Channel,Skillsoft,https://www.skillsoft.com/channel/sap-end-user-74ad34c4-d983-4ca4-bfe0-316d6c89c4aa?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Development Channel,Skillsoft,https://www.skillsoft.com/channel/self-development-cc04b250-f918-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serving Digital Customers Channel,Skillsoft,https://www.skillsoft.com/channel/serving-digital-customers-2937e665-f75e-4c78-b61f-ab65dfbdecf4?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Six Sigma Channel,Skillsoft,https://www.skillsoft.com/channel/six-sigma-41f01560-2121-11e7-ac46-dd5c3d0e46dd?belt=60401?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talent Development & Transformation Leadercamps Channel,Skillsoft,https://www.skillsoft.com/channel/talent-development-and-transformation-leadercamps-3c508b82-5ca5-4a9e-a99e-1a459c598d58?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talent Management Channel,Skillsoft,https://www.skillsoft.com/channel/talent-management-51f0a7c0-f91e-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Collaboration Channel,Skillsoft,https://www.skillsoft.com/channel/virtual-collaboration-14b2dd20-dc20-11e7-9fe8-1b7f5fcc733d?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working Effectively on a Team Channel,Skillsoft,https://www.skillsoft.com/channel/working-effectively-on-a-team-9c912cb0-f918-11e6-aad2-6b3c03be7fe8?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Written Communication Channel,Skillsoft,https://www.skillsoft.com/channel/written-communication-e25b4610-e719-11e6-9835-f723b46a2688?cta=feds,,,Decision Support,"1,2,3,4,5",Decision Support - Audit Execution,"1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract and Procurement Fraud (AUDT8036),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8036,,,Decision Support,"2,3",Contract Management,3,Decision Support - Audit Execution,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative an Critical Thinking for Auditors (AUDT8012),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/AUDT8012,,,Decision Support,"2,3,4,5",Decision Support - Audit Execution,"2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Clustering in Python,Data Society,https://datasociety.meldr.ai/courses/DataScience/AdvancedClustering,,,Decision Support,"2,3",Financial Management Analysis,"3,4",Accounting Analysis,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Visualization in R,Data Society,https://datasociety.meldr.ai/courses/DataScience-R/InteractiveVisualizationInR,,,Decision Support,"2,3",Financial Management Analysis,"3,4",Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive Visualization with Plotly,Data Society,https://datasociety.meldr.ai/courses/DataScience/InteractiveVisualizationWithPlotly,,,Decision Support,"2,3",Financial Management Analysis,"3,4",Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Clustering in Python,Data Society,https://datasociety.meldr.ai/courses/DataScience/IntermediateClustering,,,Decision Support,"2,3",Financial Management Analysis,"2,3",Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate Clustering in R,Data Society,https://datasociety.meldr.ai/courses/DataScience-R/IntermediateClusteringInR,,,Decision Support,"2,3",Financial Management Analysis,"2,3",Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Classification in Python,Data Society,https://datasociety.meldr.ai/courses/DataScience/IntroToClassification,,,Decision Support,"2,3",Financial Management Analysis,"2,3",Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Classification in R,Data Society,https://datasociety.meldr.ai/courses/DataScience-R/IntroToClassificationInR,,,Decision Support,"2,3",Financial Management Analysis,"2,3",Accounting Analysis,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic Regression in Python,Data Society,https://datasociety.meldr.ai/courses/DataScience/LogisticRegression,,,Decision Support,"2,3",Financial Management Analysis,"2,3",Accounting Analysis,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logistic Regression in R,Data Society,https://datasociety.meldr.ai/courses/DataScience-R/LogisticRegressionInR,,,Decision Support,"2,3",Financial Management Analysis,"2,3",Accounting Analysis,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Appropriations Law (FINC7100),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC7100,,,"Financial Concepts, Policies and Principles","1,2,3",Financial Stewardship,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management Bootcamp for New Federal Managers (FINC7010),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC7010,,,"Financial Concepts, Policies and Principles","1,2,3",Financial Stewardship,"1,2,3",Fundamentals and Operations of Finance,"1,2,3",Fundamentals and Operations of Budget,"1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Financial Management (FINC7000),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC7000,,,"Financial Concepts, Policies and Principles","1,2",Financial Stewardship,"1,2",Fundamentals and Operations of Finance,"1,2",Fundamentals and Operations of Accounting,"1,2",Fundamentals and Operations of Budget,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travel Regulations for Defense Agencies, JTR (PCS Only) (FINC8230)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC8230,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travel Regulations for Defense Agencies, JTR (TDY and PCS) (FINC8231)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC8231,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travel Regulations for Defense Agencies, JTR (TDY Only) (FINC7215)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC7215,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travel Regulations for Non-Defense Agencies, FTR (PCS Only) (FINC7104)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC7104,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travel Regulations for Non-Defense Agencies, FTR (TDY and PCS) (FINC8232)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC8232,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travel Regulations for Non-Defense Agencies, FTR (TDY Only) (FINC7213)",Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC7213,,,"Financial Concepts, Policies and Principles","1,2",Fundamentals and Operations of Finance,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0372 Financial Statement Analysis,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409614,,,"Financial Concepts, Policies and Principles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense Working Capital Funds (FINC9000),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC9000,,,"Financial Concepts, Policies and Principles","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Defense Working Capital Funds (FINC9250),Graduate School USA (GSUSA),https://www.LearnAtGSUSA.com/FINC9250,,,"Financial Concepts, Policies and Principles","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBU 0372 Financial Statement Analysis,George Mason University,https://masoncpe.gmu.edu/search/publicCourseSearchDetails.do?method=load&courseId=2409615,,,"Financial Concepts, Policies and Principles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
